#separator:tab
#html:true
#columns:Front	Back	Tags
# Week 6 (Sou Matome N2) — Japanese grammar and usage: Grammar patterns
<div class="front-main">〜て以来</div><div class="front-example-sentence-1">日本に来て以来、母の料理を食べていない。</div>	<div class="back-main-reading">ていらい</div><div class="back-main-english-explanation">ever since</div><div class="back-example-sentence-1-reading">にほんにきていらい、ははのりょうりをたべていない。</div><div class="back-example-sentence-1-english">Since I came to Japan, I haven't eaten my mother's food.</div>	grammar::w6 grammar::w6d1 jlpt::n2 type::grammar
<div class="front-main">〜て以来</div><div class="front-example-sentence-1">入学以来、一度も授業を休んでいない。</div>	<div class="back-main-reading">ていらい</div><div class="back-main-english-explanation">ever since</div><div class="back-example-sentence-1-reading">にゅうがくいらい、いちどもじゅぎょうをやすんでいない。</div><div class="back-example-sentence-1-english">Since I entered school, I have never missed class.</div>	grammar::w6 grammar::w6d1 jlpt::n2 type::grammar
<div class="front-main">〜以上(は)</div><div class="front-example-sentence-1">試験を受ける以上、いい点を取りたい。</div>	<div class="back-main-reading">いじょう(は)</div><div class="back-main-english-explanation">now that/since... (must act accordingly)</div><div class="back-example-sentence-1-reading">しけんをうけるいじょう、いいてんをとりたい。</div><div class="back-example-sentence-1-english">Now that I'm taking the test, I want to do well.</div>	grammar::w6 grammar::w6d1 jlpt::n2 type::grammar
<div class="front-main">〜以上(は)</div><div class="front-example-sentence-1">日本に来た以上は、日本語ができるようになりたい。</div>	<div class="back-main-reading">いじょう(は)</div><div class="back-main-english-explanation">now that/since... (must act accordingly)</div><div class="back-example-sentence-1-reading">にほんにきたいじょうは、にほんごができるようになりたい。</div><div class="back-example-sentence-1-english">Now that I've come to Japan, I want to become competent in Japanese.</div>	grammar::w6 grammar::w6d1 jlpt::n2 type::grammar
<div class="front-main">〜からには</div><div class="front-example-sentence-1">約束したからには、守るべきだ。</div>	<div class="back-main-reading">からには</div><div class="back-main-english-explanation">now that/since... (strong resolve or duty)</div><div class="back-example-sentence-1-reading">やくそくしたからには、まもるべきだ。</div><div class="back-example-sentence-1-english">Since you have made a promise, you should keep it.</div>	grammar::w6 grammar::w6d1 jlpt::n2 type::grammar
<div class="front-main">〜からには</div><div class="front-example-sentence-1">試合に出るからには、勝ちたい。</div>	<div class="back-main-reading">からには</div><div class="back-main-english-explanation">now that/since... (strong resolve or duty)</div><div class="back-example-sentence-1-reading">しあいにでるからには、かちたい。</div><div class="back-example-sentence-1-english">Since I'll be in the games, I want to win.</div>	grammar::w6 grammar::w6d1 jlpt::n2 type::grammar
<div class="front-main">〜折(に)</div><div class="front-example-sentence-1">来日の折には、ぜひこちらにお立ち寄りください。</div>	<div class="back-main-reading">おり(に)</div><div class="back-main-english-explanation">when/at the time of (formal)</div><div class="back-example-sentence-1-reading">らいにちのおりには、ぜひこちらにおたちよりください。</div><div class="back-example-sentence-1-english">Please visit us when you come to Japan.</div>	grammar::w6 grammar::w6d1 jlpt::n2 type::grammar
<div class="front-main">〜折(に)</div><div class="front-example-sentence-1">次にお目にかかった折に、お返しします。</div>	<div class="back-main-reading">おり(に)</div><div class="back-main-english-explanation">when/at the time of (formal)</div><div class="back-example-sentence-1-reading">つぎにおめにかかったおりに、おかえしします。</div><div class="back-example-sentence-1-english">I will return it the next time I see you.</div>	grammar::w6 grammar::w6d1 jlpt::n2 type::grammar
<div class="front-main">〜から言うと／〜から言えば</div><div class="front-example-sentence-1">客の立場から言うと、この店は入り口がせまくて入りにくい。</div>	<div class="back-main-reading">からいうと／からいえば</div><div class="back-main-english-explanation">from the perspective of...</div><div class="back-example-sentence-1-reading">きゃくのたちばからいうと、このみせはいりぐちがせまくてはいりにくい。</div><div class="back-example-sentence-1-english">From the customer's perspective, this shop has a small entrance and is hard to enter.</div>	grammar::w6 grammar::w6d2 jlpt::n2 type::grammar
<div class="front-main">〜から言うと／〜から言えば</div><div class="front-example-sentence-1">しかし、店の側から言えば管理しやすい。</div>	<div class="back-main-reading">からいうと／からいえば</div><div class="back-main-english-explanation">from the perspective of...</div><div class="back-example-sentence-1-reading">しかし、みせのがわからいえばかんりしやすい。</div><div class="back-example-sentence-1-english">However, from the perspective of the shop, it is easy to manage.</div>	grammar::w6 grammar::w6d2 jlpt::n2 type::grammar
<div class="front-main">〜からすると／〜からすれば／〜からいって</div><div class="front-example-sentence-1">症状からすると、心臓の病気かもしれません。</div>	<div class="back-main-reading">からすると／からすれば／からいって</div><div class="back-main-english-explanation">judging from</div><div class="back-example-sentence-1-reading">しょうじょうからすると、しんぞうのびょうきかもしれません。</div><div class="back-example-sentence-1-english">Judging from the symptoms, it might be a heart disease.</div>	grammar::w6 grammar::w6d2 jlpt::n2 type::grammar
<div class="front-main">〜からすると／〜からすれば／〜からいって</div><div class="front-example-sentence-1">周りの態度からすると、あの方が社長ではないでしょうか。</div>	<div class="back-main-reading">からすると／からすれば／からいって</div><div class="back-main-english-explanation">judging from</div><div class="back-example-sentence-1-reading">まわりのたいどからすると、あのかたがしゃちょうではないでしょうか。</div><div class="back-example-sentence-1-english">Judging from the attitudes of the people around him, he is probably the president.</div>	grammar::w6 grammar::w6d2 jlpt::n2 type::grammar
<div class="front-main">〜からして</div><div class="front-example-sentence-1">彼は服装からしてだらしない。きっと、ほかの面も同じだろう。</div>	<div class="back-main-reading">からして</div><div class="back-main-english-explanation">judging from/even just by...</div><div class="back-example-sentence-1-reading">かれはふくそうからしてだらしない。きっと、ほかのめんもおなじだろう。</div><div class="back-example-sentence-1-english">He is sloppy, even just looking at his dress. He's probably the same in other aspects.</div>	grammar::w6 grammar::w6d2 jlpt::n2 type::grammar
<div class="front-main">〜からして</div><div class="front-example-sentence-1">あの映画は、題名からして悲しそうだ。</div>	<div class="back-main-reading">からして</div><div class="back-main-english-explanation">judging from/even just by...</div><div class="back-example-sentence-1-reading">あのえいがは、だいめいからしてかなしそうだ。</div><div class="back-example-sentence-1-english">Based on the title alone, the movie seems sad.</div>	grammar::w6 grammar::w6d2 jlpt::n2 type::grammar
<div class="front-main">〜から見ると／〜から見れば</div><div class="front-example-sentence-1">日本の習慣には、外国人から見ると妙なものもあるだろう。</div>	<div class="back-main-reading">からみると／からみれば</div><div class="back-main-english-explanation">from the perspective of...</div><div class="back-example-sentence-1-reading">にほんのしゅうかんには、がいこくじんからみるとみょうなものもあるだろう。</div><div class="back-example-sentence-1-english">From a foreigner's perspective, some Japanese customs may seem strange.</div>	grammar::w6 grammar::w6d2 jlpt::n2 type::grammar
<div class="front-main">〜から見ると／〜から見れば</div><div class="front-example-sentence-1">昔の人から見ると、現代人の生活のリズムは速すぎるかもしれない。</div>	<div class="back-main-reading">からみると／からみれば</div><div class="back-main-english-explanation">from the perspective of...</div><div class="back-example-sentence-1-reading">むかしのひとからみると、げんだいじんのせいかつのリズムははやすぎるかもしれない。</div><div class="back-example-sentence-1-english">From the perspective of people in the past, modern life might seem too fast.</div>	grammar::w6 grammar::w6d2 jlpt::n2 type::grammar
<div class="front-main">〜からといって</div><div class="front-example-sentence-1">好きだからといって、同じ食品ばかり食べるのはよくない。</div>	<div class="back-main-reading">からといって</div><div class="back-main-english-explanation">just because...</div><div class="back-example-sentence-1-reading">すきだからといって、おなじしょくひんばかりたべるのはよくない。</div><div class="back-example-sentence-1-english">Just because you like it, it's not good to eat the same food all the time.</div>	grammar::w6 grammar::w6d3 jlpt::n2 type::grammar
<div class="front-main">〜からといって</div><div class="front-example-sentence-1">日本に住んでいるからといって、日本語がしゃべれるようにはならない。</div>	<div class="back-main-reading">からといって</div><div class="back-main-english-explanation">just because...</div><div class="back-example-sentence-1-reading">にほんにすんでいるからといって、にほんごがしゃべれるようにはならない。</div><div class="back-example-sentence-1-english">Just because you live in Japan doesn't mean you can speak Japanese.</div>	grammar::w6 grammar::w6d3 jlpt::n2 type::grammar
<div class="front-main">〜てからでないと／〜てからでなければ</div><div class="front-example-sentence-1">手続きしてからでないと、図書館の本は借りられない。</div>	<div class="back-main-reading">てからでないと／てからでなければ</div><div class="back-main-english-explanation">unless/until after...</div><div class="back-example-sentence-1-reading">てつづきしてからでないと、としょかんのほんはかりられない。</div><div class="back-example-sentence-1-english">Unless you complete the procedures, you cannot borrow library books.</div>	grammar::w6 grammar::w6d3 jlpt::n2 type::grammar
<div class="front-main">〜てからでないと／〜てからでなければ</div><div class="front-example-sentence-1">親の許可をもらってからでなければ、申し込めない。</div>	<div class="back-main-reading">てからでないと／てからでなければ</div><div class="back-main-english-explanation">unless/until after...</div><div class="back-example-sentence-1-reading">おやのきょかをもらってからでなければ、もうしこめない。</div><div class="back-example-sentence-1-english">Unless you get your parents' permission, you cannot apply.</div>	grammar::w6 grammar::w6d3 jlpt::n2 type::grammar
<div class="front-main">〜から〜にかけて</div><div class="front-example-sentence-1">私は、2007年から2009年にかけて、ロンドンに住んでいました。</div>	<div class="back-main-reading">から〜にかけて</div><div class="back-main-english-explanation">from X to Y (time or place)</div><div class="back-example-sentence-1-reading">わたしは、2007ねんから2009ねんにかけて、ロンドンにすんでいました。</div><div class="back-example-sentence-1-english">I lived in London from 2007 to 2009.</div>	grammar::w6 grammar::w6d3 jlpt::n2 type::grammar
<div class="front-main">〜から〜にかけて</div><div class="front-example-sentence-1">この駅から、あそこの通りにかけて、再開発されるそうです。</div>	<div class="back-main-reading">から〜にかけて</div><div class="back-main-english-explanation">from X to Y (time or place)</div><div class="back-example-sentence-1-reading">このえきから、あそこのとおりにかけて、さいかいはつされるそうです。</div><div class="back-example-sentence-1-english">They are going to redevelop the space between this station and that street.</div>	grammar::w6 grammar::w6d3 jlpt::n2 type::grammar
<div class="front-main">〜にかけては</div><div class="front-example-sentence-1">足の速さにかけては、彼は町で一番だ。</div>	<div class="back-main-reading">にかけては</div><div class="back-main-english-explanation">when it comes to...</div><div class="back-example-sentence-1-reading">あしのはやさにかけては、かれはまちでいちばんだ。</div><div class="back-example-sentence-1-english">When it comes to running, he is the best in town.</div>	grammar::w6 grammar::w6d3 jlpt::n2 type::grammar
