#separator:tab
#html:true
#columns:Front	Back	Tags
# Week 3 (Sou Matome N2) — Japanese vocabulary: Kanji-only split deck, grouped by day
<div class="front-main">様子</div><div class="front-example-sentence-1">彼の様子がいつもと違って、少し心配になった。</div>	<div class="back-main-reading">ようす</div><div class="back-main-english">An appearance / situation</div><div class="back-example-sentence-1-reading">かれのようすがいつもとちがって、すこししんぱいになった。</div><div class="back-example-sentence-1-english">His demeanor was different from usual, so I got a little worried.</div>	kanji::w3 kanji::w3d1 jlpt::n2
<div class="front-main">〜様</div><div class="front-example-sentence-1">手紙のあて名にはふつう様を使います。</div>	<div class="back-main-reading">〜さま</div><div class="back-main-english">Honorific added to people's names (esp. in letters)</div><div class="back-example-sentence-1-reading">てがみのあてなにはふつうさまをつかいます。</div><div class="back-example-sentence-1-english">The addressee name on a letter usually uses "-sama."</div>	kanji::w3 kanji::w3d1 jlpt::n2
<div class="front-main">同様</div><div class="front-example-sentence-1">今年の売り上げも去年と同様、あまり伸びなかった。</div>	<div class="back-main-reading">どうよう</div><div class="back-main-english">The same</div><div class="back-example-sentence-1-reading">ことしのうりあげもきょねんとどうよう、あまりのびなかった。</div><div class="back-example-sentence-1-english">This year's sales, the same as last year, didn't grow much.</div>	kanji::w3 kanji::w3d1 jlpt::n2
<div class="front-main">様々（な）</div><div class="front-example-sentence-1">この店では様々な国の料理が楽しめる。</div>	<div class="back-main-reading">さまざまな</div><div class="back-main-english">Various</div><div class="back-example-sentence-1-reading">このみせではさまざまなくにのりょうりがたのしめる。</div><div class="back-example-sentence-1-english">At this restaurant, you can enjoy dishes from various countries.</div>	kanji::w3 kanji::w3d1 jlpt::n2
<div class="front-main">重要（な）</div><div class="front-example-sentence-1">この契約書は重要な書類なので、なくさないでください。</div>	<div class="back-main-reading">じゅうような</div><div class="back-main-english">Important</div><div class="back-example-sentence-1-reading">このけいやくしょはじゅうようなしょるいなので、なくさないでください。</div><div class="back-example-sentence-1-english">This contract is an important document, so please don't lose it.</div>	kanji::w3 kanji::w3d1 jlpt::n2
<div class="front-main">要約</div><div class="front-example-sentence-1">読んだ本の内容を要約する。</div>	<div class="back-main-reading">ようやく</div><div class="back-main-english">A summary</div><div class="back-example-sentence-1-reading">よんだほんのないようをようやくする。</div><div class="back-example-sentence-1-english">Summarize the contents of the book I read.</div>	kanji::w3 kanji::w3d1 jlpt::n2
<div class="front-main">要点</div><div class="front-example-sentence-1">会議の前に、資料の要点をまとめておいてください。</div>	<div class="back-main-reading">ようてん</div><div class="back-main-english">An essential point</div><div class="back-example-sentence-1-reading">かいぎのまえに、しりょうのようてんをまとめておいてください。</div><div class="back-example-sentence-1-english">Please summarize the key points of the material before the meeting.</div>	kanji::w3 kanji::w3d1 jlpt::n2
<div class="front-main">要る</div><div class="front-example-sentence-1">細かいお金が要るんですが、両替してくれませんか。</div>	<div class="back-main-reading">いる</div><div class="back-main-english">Need</div><div class="back-example-sentence-1-reading">こまかいおかねがいるんですが、りょうがえしてくれませんか。</div><div class="back-example-sentence-1-english">I need small change - could you exchange this for me?</div>	kanji::w3 kanji::w3d1 jlpt::n2
<div class="front-main">利用</div><div class="front-example-sentence-1">このサービスは無料で利用できます。</div>	<div class="back-main-reading">りよう</div><div class="back-main-english">Use</div><div class="back-example-sentence-1-reading">このサービスはむりょうでりようできます。</div><div class="back-example-sentence-1-english">This service can be used for free.</div>	kanji::w3 kanji::w3d1 jlpt::n2
<div class="front-main">金利</div><div class="front-example-sentence-1">金利が低いときに、お金を借りたほうがいいですね。</div>	<div class="back-main-reading">きんり</div><div class="back-main-english">Interest (rate)</div><div class="back-example-sentence-1-reading">きんりがひくいときに、おかねをかりたほうがいいですね。</div><div class="back-example-sentence-1-english">It's better to borrow money when interest rates are low.</div>	kanji::w3 kanji::w3d1 jlpt::n2
<div class="front-main">便利（な）</div><div class="front-example-sentence-1">コンビニでも払い込みができるので便利だ。</div>	<div class="back-main-reading">べんりな</div><div class="back-main-english">Convenient</div><div class="back-example-sentence-1-reading">コンビニでもはらいこみができるのでべんりだ。</div><div class="back-example-sentence-1-english">It's convenient because you can make payments at a convenience store too.</div>	kanji::w3 kanji::w3d1 jlpt::n2
<div class="front-main">有利（な）</div><div class="front-example-sentence-1">英語ができると、就職に有利だ。</div>	<div class="back-main-reading">ゆうりな</div><div class="back-main-english">Advantageous</div><div class="back-example-sentence-1-reading">えいごができると、しゅうしょくにゆうりだ。</div><div class="back-example-sentence-1-english">Being able to speak English is advantageous for job hunting.</div>	kanji::w3 kanji::w3d1 jlpt::n2
<div class="front-main">明細</div><div class="front-example-sentence-1">クレジットカードの利用明細を確認する。</div>	<div class="back-main-reading">めいさい</div><div class="back-main-english">Details</div><div class="back-example-sentence-1-reading">クレジットカードのりようめいさいをかくにんする。</div><div class="back-example-sentence-1-english">Check the detailed statement of credit card usage.</div>	kanji::w3 kanji::w3d1 jlpt::n2
<div class="front-main">細い</div><div class="front-example-sentence-1">この道は細くて、車がすれ違えない。</div>	<div class="back-main-reading">ほそい</div><div class="back-main-english">Fine / thin</div><div class="back-example-sentence-1-reading">このみちはほそくて、くるまがすれちがえない。</div><div class="back-example-sentence-1-english">This road is narrow, so cars can't pass each other.</div>	kanji::w3 kanji::w3d1 jlpt::n2
<div class="front-main">細かい</div><div class="front-example-sentence-1">細かいお金が要るんですが、両替してくれませんか。</div>	<div class="back-main-reading">こまかい</div><div class="back-main-english">Fine / small</div><div class="back-example-sentence-1-reading">こまかいおかねがいるんですが、りょうがえしてくれませんか。</div><div class="back-example-sentence-1-english">I need small change - could you exchange this for me?</div>	kanji::w3 kanji::w3d1 jlpt::n2
<div class="front-main">心細い</div><div class="front-example-sentence-1">一人で外国に住むのは心細い。</div>	<div class="back-main-reading">こころぼそい</div><div class="back-main-english">Lonely / helpless</div><div class="back-example-sentence-1-reading">ひとりでがいこくにすむのはこころぼそい。</div><div class="back-example-sentence-1-english">Living alone in a foreign country makes me feel helpless.</div>	kanji::w3 kanji::w3d1 jlpt::n2
<div class="front-main">在中</div><div class="front-example-sentence-1">この封筒には写真在中と書いてある。</div>	<div class="back-main-reading">ざいちゅう</div><div class="back-main-english">Containing (on envelopes/letters)</div><div class="back-example-sentence-1-reading">このふうとうにはしゃしんざいちゅうとかいてある。</div><div class="back-example-sentence-1-english">It says "photo enclosed" on this envelope.</div>	kanji::w3 kanji::w3d1 jlpt::n2
<div class="front-main">現在</div><div class="front-example-sentence-1">お客様のおかけになった番号は現在使われておりません。</div>	<div class="back-main-reading">げんざい</div><div class="back-main-english">The present (time)</div><div class="back-example-sentence-1-reading">おきゃくさまのおかけになったばんごうはげんざいつかわれておりません。</div><div class="back-example-sentence-1-english">The number you have dialed is currently not in use.</div>	kanji::w3 kanji::w3d1 jlpt::n2
<div class="front-main">在学</div><div class="front-example-sentence-1">彼は今もこの大学に在学している。</div>	<div class="back-main-reading">ざいがく</div><div class="back-main-english">Attending school</div><div class="back-example-sentence-1-reading">かれはいまもこのだいがくにざいがくしている。</div><div class="back-example-sentence-1-english">He is still enrolled at this university.</div>	kanji::w3 kanji::w3d1 jlpt::n2
<div class="front-main">不在</div><div class="front-example-sentence-1">訪ねてみたが、彼は不在だった。</div>	<div class="back-main-reading">ふざい</div><div class="back-main-english">Absence</div><div class="back-example-sentence-1-reading">たずねてみたが、かれはふざいだった。</div><div class="back-example-sentence-1-english">I visited, but he was not there.</div>	kanji::w3 kanji::w3d1 jlpt::n2
<div class="front-main">客席</div><div class="front-example-sentence-1">コンサート会場の客席はほぼ満員だった。</div>	<div class="back-main-reading">きゃくせき</div><div class="back-main-english">A seat (in an auditorium)</div><div class="back-example-sentence-1-reading">コンサートかいじょうのきゃくせきはほぼまんいんだった。</div><div class="back-example-sentence-1-english">The audience seats at the concert hall were almost full.</div>	kanji::w3 kanji::w3d1 jlpt::n2
<div class="front-main">お客様</div><div class="front-example-sentence-1">お客様のおかけになった番号は現在使われておりません。</div>	<div class="back-main-reading">おきゃくさま</div><div class="back-main-english">Customer (honorific)</div><div class="back-example-sentence-1-reading">おきゃくさまのおかけになったばんごうはげんざいつかわれておりません。</div><div class="back-example-sentence-1-english">The number you have dialed is currently not in use.</div>	kanji::w3 kanji::w3d1 jlpt::n2
<div class="front-main">乗客</div><div class="front-example-sentence-1">事故のとき、乗客は全員無事だった。</div>	<div class="back-main-reading">じょうきゃく</div><div class="back-main-english">A passenger</div><div class="back-example-sentence-1-reading">じこのとき、じょうきゃくはぜんいんぶじだった。</div><div class="back-example-sentence-1-english">At the time of the accident, all passengers were safe.</div>	kanji::w3 kanji::w3d1 jlpt::n2
<div class="front-main">額</div><div class="front-example-sentence-1">壁に絵の額をかける。</div>	<div class="back-main-reading">がく</div><div class="back-main-english">A frame</div><div class="back-example-sentence-1-reading">かべにえのがくをかける。</div><div class="back-example-sentence-1-english">Hang a picture frame on the wall.</div>	kanji::w3 kanji::w3d1 jlpt::n2
<div class="front-main">額</div><div class="front-example-sentence-1">走ったので額に汗をかいた。</div>	<div class="back-main-reading">ひたい</div><div class="back-main-english">Forehead</div><div class="back-example-sentence-1-reading">はしったのでひたいにあせをかいた。</div><div class="back-example-sentence-1-english">I broke out in a sweat on my forehead because I ran.</div>	kanji::w3 kanji::w3d1 jlpt::n2
<div class="front-main">金額</div><div class="front-example-sentence-1">請求書に書かれた金額を確認する。</div>	<div class="back-main-reading">きんがく</div><div class="back-main-english">An amount / sum (of money)</div><div class="back-example-sentence-1-reading">せいきゅうしょにかかれたきんがくをかくにんする。</div><div class="back-example-sentence-1-english">Check the amount written on the invoice.</div>	kanji::w3 kanji::w3d1 jlpt::n2
<div class="front-main">込む</div><div class="front-example-sentence-1">朝の電車はいつも込んでいる。</div>	<div class="back-main-reading">こむ</div><div class="back-main-english">Be congested / crowded</div><div class="back-example-sentence-1-reading">あさのでんしゃはいつもこんでいる。</div><div class="back-example-sentence-1-english">The morning train is always crowded.</div>	kanji::w3 kanji::w3d1 jlpt::n2
<div class="front-main">払い込む</div><div class="front-example-sentence-1">コンビニでも払い込みができるので便利だ。</div>	<div class="back-main-reading">はらいこむ</div><div class="back-main-english">Pay in</div><div class="back-example-sentence-1-reading">コンビニでもはらいこみができるのでべんりだ。</div><div class="back-example-sentence-1-english">It's convenient because you can make payments at a convenience store too.</div>	kanji::w3 kanji::w3d1 jlpt::n2
<div class="front-main">飛び込む</div><div class="front-example-sentence-1">子どもがプールに飛び込んだ。</div>	<div class="back-main-reading">とびこむ</div><div class="back-main-english">Dive / jump into</div><div class="back-example-sentence-1-reading">こどもがプールにとびこんだ。</div><div class="back-example-sentence-1-english">The child dove into the pool.</div>	kanji::w3 kanji::w3d1 jlpt::n2
<div class="front-main">申し込む</div><div class="front-example-sentence-1">来月の講座に申し込むつもりだ。</div>	<div class="back-main-reading">もうしこむ</div><div class="back-main-english">Apply</div><div class="back-example-sentence-1-reading">らいげつのこうざにもうしこむつもりだ。</div><div class="back-example-sentence-1-english">I plan to apply for next month's course.</div>	kanji::w3 kanji::w3d1 jlpt::n2
<div class="front-main">思い込む</div><div class="front-example-sentence-1">彼は自分が正しいと思い込んでいる。</div>	<div class="back-main-reading">おもいこむ</div><div class="back-main-english">Imagine / assume</div><div class="back-example-sentence-1-reading">かれはじぶんがただしいとおもいこんでいる。</div><div class="back-example-sentence-1-english">He is convinced that he is right.</div>	kanji::w3 kanji::w3d1 jlpt::n2
<div class="front-main">領収書</div><div class="front-example-sentence-1">支払いのあと、領収書をもらった。</div>	<div class="back-main-reading">りょうしゅうしょ</div><div class="back-main-english">A receipt</div><div class="back-example-sentence-1-reading">しはらいのあと、りょうしゅうしょをもらった。</div><div class="back-example-sentence-1-english">After paying, I received a receipt.</div>	kanji::w3 kanji::w3d1 jlpt::n2
<div class="front-main">領事館</div><div class="front-example-sentence-1">パスポートをなくしたので、領事館に相談した。</div>	<div class="back-main-reading">りょうじかん</div><div class="back-main-english">A consulate</div><div class="back-example-sentence-1-reading">パスポートをなくしたので、りょうじかんにそうだんした。</div><div class="back-example-sentence-1-english">Since I lost my passport, I consulted the consulate.</div>	kanji::w3 kanji::w3d1 jlpt::n2
<div class="front-main">〜領</div><div class="front-example-sentence-1">沖縄は戦後しばらくアメリカ領だった。</div>	<div class="back-main-reading">〜りょう</div><div class="back-main-english">Territory</div><div class="back-example-sentence-1-reading">おきなわはせんごしばらくアメリカりょうだった。</div><div class="back-example-sentence-1-english">Okinawa was American territory for a while after the war.</div>	kanji::w3 kanji::w3d1 jlpt::n2
<div class="front-main">大統領</div><div class="front-example-sentence-1">来月、新しい大統領が選ばれる。</div>	<div class="back-main-reading">だいとうりょう</div><div class="back-main-english">A president</div><div class="back-example-sentence-1-reading">らいげつ、あたらしいだいとうりょうがえらばれる。</div><div class="back-example-sentence-1-english">Next month, a new president will be elected.</div>	kanji::w3 kanji::w3d1 jlpt::n2
<div class="front-main">収入</div><div class="front-example-sentence-1">転職してから収入が減った。</div>	<div class="back-main-reading">しゅうにゅう</div><div class="back-main-english">Income</div><div class="back-example-sentence-1-reading">てんしょくしてからしゅうにゅうがへった。</div><div class="back-example-sentence-1-english">My income decreased after I changed jobs.</div>	kanji::w3 kanji::w3d1 jlpt::n2
<div class="front-main">回収</div><div class="front-example-sentence-1">不良品はすぐに回収された。</div>	<div class="back-main-reading">かいしゅう</div><div class="back-main-english">A collection / recovery</div><div class="back-example-sentence-1-reading">ふりょうひんはすぐにかいしゅうされた。</div><div class="back-example-sentence-1-english">The defective products were quickly recalled.</div>	kanji::w3 kanji::w3d1 jlpt::n2
